"User with ID %1 not found","Der Benutzer mit der ID %1 wurde nicht gefunden"
"Login as Demo User","Login als Demo-Benutzer"
Or,Oder
"Demo Login","Demo Login"
Enable,Aktivieren
"Demo User","Demo Benutzer"
